id,part,page,system,bar_slot,role,pitch,german_pitch,midi,recommended_slide_position,slide_positions,clef,key_fifths,omr_explicit_alter,status,x,y
p06-s06-h2712,2,6,6,3,play,E3,E3,52,2,"[2, 7]",ALTO,1,,visually_checked,0.4263157894736842,0.6236329687916777
p06-s06-h2644,2,6,6,3,play,D#3,D#3,51,3,[3],ALTO,1,,visually_checked,0.4494736842105263,0.6263003467591358
p06-s06-h2727,2,6,6,3,play,C#3,C#3,49,5,[5],ALTO,1,1,visually_checked,0.4694736842105263,0.6303014137103228
p06-s06-h2604,2,6,6,3,play,F#3,F#3,54,5,[5],ALTO,1,,visually_checked,0.4849122807017544,0.6196319018404908
p06-s06-h2572,2,6,6,4,play,G#3,G#3,56,3,"[3, 7]",ALTO,1,1,visually_checked,0.5257894736842105,0.6169645238730328
p06-s06-h2452,2,6,6,4,play,E4,E4,64,2,"[2, 5, 7]",ALTO,1,,visually_checked,0.5543859649122806,0.6012269938650306
p06-s06-h2523,2,6,6,4,play,C#4,C#4,61,2,"[2, 5]",ALTO,1,,visually_checked,0.5842105263157895,0.6073619631901841
p06-s06-h2610,2,6,6,4,play,F#3,F#3,54,5,[5],ALTO,1,,visually_checked,0.6042105263157894,0.6198986396372366
p06-s06-h2582,2,6,6,5,play,G#3,G#3,56,3,"[3, 7]",ALTO,1,1,visually_checked,0.6487719298245614,0.6169645238730328
p06-s06-h2618,2,6,6,5,play,F#3,F#3,54,5,[5],ALTO,1,,visually_checked,0.6701754385964912,0.6196319018404908
p06-s06-h2636,2,6,6,5,play,E3,E3,52,2,"[2, 7]",ALTO,1,,visually_checked,0.6884210526315789,0.6233662309949319
p06-s06-h2652,2,6,6,5,play,D#3,D#3,51,3,[3],ALTO,1,1,visually_checked,0.7147368421052631,0.62603360896239
p06-s06-h2658,2,6,6,5,play,C#3,C#3,49,5,[5],ALTO,1,1,visually_checked,0.736140350877193,0.630034675913577
p06-s06-h2622,2,6,6,5,play,F#3,F#3,54,5,[5],ALTO,1,,visually_checked,0.752280701754386,0.6196319018404908
p06-s06-h2592,2,6,6,6,play,G#3,G#3,56,3,"[3, 7]",ALTO,1,,visually_checked,0.8031578947368421,0.6169645238730328
p06-s06-h2456,2,6,6,6,play,E4,E4,64,2,"[2, 5, 7]",ALTO,1,,visually_checked,0.8287719298245614,0.6014937316617764
p06-s06-h2534,2,6,6,6,play,C#4,C#4,61,2,"[2, 5]",ALTO,1,1,visually_checked,0.8571929824561404,0.6078954387836757
p06-s06-h2628,2,6,6,6,play,F#3,F#3,54,5,[5],ALTO,1,,visually_checked,0.872280701754386,0.6201653774339824
p06-s07-h2875,2,6,7,1,play,B3,H3,59,4,"[4, 7]",ALTO,1,,visually_checked,0.16982456140350877,0.6796479061082955
