kind,note_id,movement,page,system,bar,group,onset_ticks,duration_ticks,rest_bars,pitch,midi,tie_to_next,tie_from_previous
rest,,4,9,5,249,5,1984,16,2,,,,
rest,,4,9,5,251,6,2000,64,8,,,,
rest,,4,9,5,259,7,2064,80,10,,,,
rest,,4,9,5,269,8,2144,64,8,,,,
rest,,4,9,5,277,9,2208,128,16,,,,
rest,,4,9,5,293,10,2336,64,8,,,,
rest,,4,9,6,301,1,2400,64,8,,,,
rest,,4,9,6,309,2,2464,48,6,,,,
rest,,4,9,6,315,3,2512,48,6,,,,
rest,,4,9,6,321,4,2560,48,6,,,,
rest,,4,9,7,327,1,2608,80,10,,,,
note,tb2-p09-s08-n001,4,9,8,337,1,2688,2,,D3,50,False,
rest,,4,9,8,337,1,2690,2,,,,,
note,tb2-p09-s08-n002,4,9,8,337,1,2692,2,,D3,50,False,
rest,,4,9,8,337,1,2694,2,,,,,
note,tb2-p09-s08-n003,4,9,8,338,2,2696,6,,D3,50,False,
note,tb2-p09-s08-n004,4,9,8,338,2,2702,2,,D3,50,False,
note,tb2-p09-s08-n005,4,9,8,339,3,2704,2,,B3,59,False,
rest,,4,9,8,339,3,2706,2,,,,,
note,tb2-p09-s08-n006,4,9,8,339,3,2708,2,,C4,60,False,
note,tb2-p09-s08-n007,4,9,8,339,3,2710,2,,A3,57,False,
note,tb2-p09-s08-n008,4,9,8,340,4,2712,2,,B3,59,False,
rest,,4,9,8,340,4,2714,2,,,,,
note,tb2-p09-s08-n009,4,9,8,340,4,2716,2,,C4,60,False,
note,tb2-p09-s08-n010,4,9,8,340,4,2718,2,,A3,57,False,
note,tb2-p09-s08-n011,4,9,8,341,5,2720,4,,B3,59,False,
note,tb2-p09-s08-n012,4,9,8,341,5,2724,4,,C4,60,False,
note,tb2-p09-s08-n013,4,9,8,342,6,2728,2,,F3,53,False,
note,tb2-p09-s08-n014,4,9,8,342,6,2730,2,,Eb4,63,False,
note,tb2-p09-s08-n015,4,9,8,342,6,2732,2,,Bb3,58,False,
note,tb2-p09-s08-n016,4,9,8,342,6,2734,2,,A3,57,False,
note,tb2-p09-s08-n017,4,9,8,343,7,2736,4,,Bb3,58,False,
note,tb2-p09-s08-n018,4,9,8,343,7,2740,2,,G3,55,False,
note,tb2-p09-s08-n019,4,9,8,343,7,2742,2,,G3,55,False,
note,tb2-p09-s08-n020,4,9,8,344,8,2744,2,,A3,57,False,
note,tb2-p09-s08-n021,4,9,8,344,8,2746,2,,Bb3,58,False,
note,tb2-p09-s08-n022,4,9,8,344,8,2748,2,,A3,57,False,
rest,,4,9,8,344,8,2750,2,,,,,
note,tb2-p09-s09-n001,4,9,9,345,1,2752,2,,D3,50,False,
rest,,4,9,9,345,1,2754,2,,,,,
note,tb2-p09-s09-n002,4,9,9,345,1,2756,2,,D3,50,False,
rest,,4,9,9,345,1,2758,2,,,,,
note,tb2-p09-s09-n003,4,9,9,346,2,2760,6,,D3,50,False,
note,tb2-p09-s09-n004,4,9,9,346,2,2766,2,,D3,50,False,
note,tb2-p09-s09-n005,4,9,9,347,3,2768,2,,B3,59,False,
rest,,4,9,9,347,3,2770,2,,,,,
note,tb2-p09-s09-n006,4,9,9,347,3,2772,2,,C4,60,False,
note,tb2-p09-s09-n007,4,9,9,347,3,2774,2,,A3,57,False,
note,tb2-p09-s09-n008,4,9,9,348,4,2776,2,,B3,59,False,
rest,,4,9,9,348,4,2778,2,,,,,
note,tb2-p09-s09-n009,4,9,9,348,4,2780,2,,C4,60,False,
note,tb2-p09-s09-n010,4,9,9,348,4,2782,2,,A3,57,False,
note,tb2-p09-s09-n011,4,9,9,349,5,2784,2,,B3,59,False,
rest,,4,9,9,349,5,2786,2,,,,,
note,tb2-p09-s09-n012,4,9,9,349,5,2788,2,,F#3,54,False,
rest,,4,9,9,349,5,2790,2,,,,,
